date,sector,industry,ratio,n_firms
2025-11-28,Basic Materials,Specialty Chemicals,0.9302,10
2025-12-31,Basic Materials,Specialty Chemicals,0.9394,9
2026-01-30,Basic Materials,Specialty Chemicals,0.9406,9
2026-02-27,Basic Materials,Specialty Chemicals,0.9366,9
2026-03-31,Basic Materials,Specialty Chemicals,0.9593,9
2026-04-30,Basic Materials,Specialty Chemicals,0.9687,9
2026-05-29,Basic Materials,Specialty Chemicals,0.9822,9
2026-06-30,Basic Materials,Specialty Chemicals,1.0031,9
2026-07-31,Basic Materials,Specialty Chemicals,1.0702,9
2026-08-12,Basic Materials,Specialty Chemicals,1.0726,9
2015-09-30,Communication Services,Entertainment,2.5952,6
2015-10-30,Communication Services,Entertainment,2.5636,6
2015-11-30,Communication Services,Entertainment,2.3947,6
2015-12-31,Communication Services,Entertainment,2.3360,6
2016-01-29,Communication Services,Entertainment,2.0516,6
2016-02-29,Communication Services,Entertainment,2.0487,6
2016-03-31,Communication Services,Entertainment,2.0183,6
2016-04-29,Communication Services,Entertainment,1.9652,6
2016-05-31,Communication Services,Entertainment,1.9730,6
2016-06-30,Communication Services,Entertainment,1.9566,6
2016-07-29,Communication Services,Entertainment,1.9677,6
2016-08-31,Communication Services,Entertainment,1.9609,6
2016-09-30,Communication Services,Entertainment,1.9224,6
2016-10-31,Communication Services,Entertainment,1.9895,6
2016-11-30,Communication Services,Entertainment,2.0287,6
2016-12-30,Communication Services,Entertainment,2.0497,6
2017-01-31,Communication Services,Entertainment,1.9385,6
2017-02-28,Communication Services,Entertainment,1.9000,6
2017-03-31,Communication Services,Entertainment,1.9107,6
2017-04-28,Communication Services,Entertainment,1.9385,6
2017-05-31,Communication Services,Entertainment,1.9375,6
2017-06-30,Communication Services,Entertainment,1.9362,6
2017-07-31,Communication Services,Entertainment,1.8853,6
2017-08-31,Communication Services,Entertainment,1.8364,6
2017-09-29,Communication Services,Entertainment,1.8551,6
2017-10-31,Communication Services,Entertainment,1.7471,6
2017-11-30,Communication Services,Entertainment,1.7370,6
2017-12-29,Communication Services,Entertainment,1.7789,6
2018-01-31,Communication Services,Entertainment,1.7500,6
2018-02-28,Communication Services,Entertainment,1.7792,6
2018-03-29,Communication Services,Entertainment,1.7886,6
2018-04-30,Communication Services,Entertainment,1.8616,6
2018-05-31,Communication Services,Entertainment,1.6307,6
2018-06-29,Communication Services,Entertainment,1.5978,6
2018-07-31,Communication Services,Entertainment,1.5333,6
2018-08-31,Communication Services,Entertainment,1.5298,6
2018-09-28,Communication Services,Entertainment,1.5883,6
2018-10-31,Communication Services,Entertainment,1.6032,6
2018-11-30,Communication Services,Entertainment,1.6618,6
2018-12-31,Communication Services,Entertainment,1.6687,6
2019-01-31,Communication Services,Entertainment,1.6640,6
2019-02-28,Communication Services,Entertainment,1.6450,6
2019-03-29,Communication Services,Entertainment,1.6067,8
2019-04-30,Communication Services,Entertainment,1.5830,8
2019-05-31,Communication Services,Entertainment,1.6111,8
2019-06-28,Communication Services,Entertainment,1.6206,8
2019-07-31,Communication Services,Entertainment,1.6248,8
2019-08-30,Communication Services,Entertainment,1.5992,8
2019-09-30,Communication Services,Entertainment,1.5778,8
2019-10-31,Communication Services,Entertainment,1.5871,8
2019-11-29,Communication Services,Entertainment,1.5408,8
2019-12-31,Communication Services,Entertainment,1.5404,9
2020-01-31,Communication Services,Entertainment,1.5430,9
2020-02-28,Communication Services,Entertainment,1.5670,9
2020-03-31,Communication Services,Entertainment,1.6162,9
2020-04-30,Communication Services,Entertainment,1.6264,9
2020-05-29,Communication Services,Entertainment,1.4989,9
2020-06-30,Communication Services,Entertainment,1.2525,9
2020-07-31,Communication Services,Entertainment,1.2383,9
2020-08-31,Communication Services,Entertainment,1.2378,9
2020-09-30,Communication Services,Entertainment,1.2176,9
2020-10-30,Communication Services,Entertainment,1.2093,9
2020-11-30,Communication Services,Entertainment,1.2089,9
2020-12-31,Communication Services,Entertainment,1.1936,9
2021-01-29,Communication Services,Entertainment,1.1745,9
2021-02-26,Communication Services,Entertainment,1.1782,9
2021-03-31,Communication Services,Entertainment,1.1852,9
2021-04-30,Communication Services,Entertainment,1.1876,9
2021-05-28,Communication Services,Entertainment,1.2027,9
2021-06-30,Communication Services,Entertainment,1.2794,9
2021-07-30,Communication Services,Entertainment,1.3033,9
2021-08-31,Communication Services,Entertainment,1.2957,9
2021-09-30,Communication Services,Entertainment,1.3112,9
2021-10-29,Communication Services,Entertainment,1.2732,9
2021-11-30,Communication Services,Entertainment,1.2864,9
2021-12-31,Communication Services,Entertainment,1.2813,9
2022-01-31,Communication Services,Entertainment,1.2634,9
2022-02-28,Communication Services,Entertainment,1.2470,9
2022-03-31,Communication Services,Entertainment,1.2158,9
2022-04-29,Communication Services,Entertainment,1.5618,9
2022-05-31,Communication Services,Entertainment,1.5688,9
2022-06-30,Communication Services,Entertainment,1.6624,9
2022-07-29,Communication Services,Entertainment,2.1363,9
2022-08-31,Communication Services,Entertainment,2.0574,9
2022-09-30,Communication Services,Entertainment,2.0191,9
2022-10-31,Communication Services,Entertainment,2.0193,9
2022-11-30,Communication Services,Entertainment,2.0252,9
2022-12-30,Communication Services,Entertainment,2.0250,9
2023-01-31,Communication Services,Entertainment,2.0511,9
2023-02-28,Communication Services,Entertainment,2.0520,9
2023-03-31,Communication Services,Entertainment,2.0782,9
2023-04-28,Communication Services,Entertainment,1.9894,9
2023-05-31,Communication Services,Entertainment,2.0262,9
2023-06-30,Communication Services,Entertainment,2.0735,9
2023-07-31,Communication Services,Entertainment,1.8304,9
2023-08-31,Communication Services,Entertainment,1.8786,9
2023-09-29,Communication Services,Entertainment,1.9236,9
2023-10-31,Communication Services,Entertainment,1.9669,9
2023-11-30,Communication Services,Entertainment,1.9894,9
2023-12-29,Communication Services,Entertainment,2.0168,9
2024-01-31,Communication Services,Entertainment,2.0125,9
2024-02-29,Communication Services,Entertainment,2.0173,9
2024-03-28,Communication Services,Entertainment,2.0033,9
2024-04-30,Communication Services,Entertainment,1.9325,9
2024-05-31,Communication Services,Entertainment,1.9521,9
2024-06-28,Communication Services,Entertainment,1.9425,9
2024-07-31,Communication Services,Entertainment,1.7156,9
2024-08-30,Communication Services,Entertainment,1.7200,9
2024-09-30,Communication Services,Entertainment,1.7344,9
2024-10-31,Communication Services,Entertainment,1.6128,9
2024-11-29,Communication Services,Entertainment,1.5952,9
2024-12-31,Communication Services,Entertainment,1.5991,9
2025-01-31,Communication Services,Entertainment,1.5979,9
2025-02-28,Communication Services,Entertainment,1.6160,9
2025-03-31,Communication Services,Entertainment,1.5690,10
2025-04-30,Communication Services,Entertainment,1.5808,10
2025-05-30,Communication Services,Entertainment,1.5968,10
2025-06-30,Communication Services,Entertainment,1.6891,10
2025-07-31,Communication Services,Entertainment,1.5042,10
2025-08-29,Communication Services,Entertainment,1.5134,10
2025-09-30,Communication Services,Entertainment,1.5237,10
2025-10-31,Communication Services,Entertainment,1.5774,10
2025-11-28,Communication Services,Entertainment,1.5815,10
2025-12-31,Communication Services,Entertainment,1.5939,10
2026-01-30,Communication Services,Entertainment,1.6813,10
2026-02-27,Communication Services,Entertainment,1.6709,10
2026-03-31,Communication Services,Entertainment,1.6759,10
2026-04-30,Communication Services,Entertainment,1.6412,10
2026-05-29,Communication Services,Entertainment,1.6819,10
2026-06-30,Communication Services,Entertainment,1.5993,10
2026-07-31,Communication Services,Entertainment,1.7814,10
2026-08-12,Communication Services,Entertainment,1.7665,10
2017-03-31,Communication Services,Telecom Services,0.8128,6
2017-04-28,Communication Services,Telecom Services,0.8393,6
2017-05-31,Communication Services,Telecom Services,0.8613,6
2017-06-30,Communication Services,Telecom Services,0.8488,6
2017-07-31,Communication Services,Telecom Services,0.8611,6
2017-08-31,Communication Services,Telecom Services,0.8532,6
2017-09-29,Communication Services,Telecom Services,0.8739,6
2017-10-31,Communication Services,Telecom Services,0.8851,6
2017-11-30,Communication Services,Telecom Services,0.8791,6
2017-12-29,Communication Services,Telecom Services,0.9195,6
2018-01-31,Communication Services,Telecom Services,0.9672,6
2018-02-28,Communication Services,Telecom Services,0.9821,6
2018-03-29,Communication Services,Telecom Services,1.0218,6
2018-04-30,Communication Services,Telecom Services,1.0633,6
2018-05-31,Communication Services,Telecom Services,1.0280,6
2018-06-29,Communication Services,Telecom Services,0.9345,6
2018-07-31,Communication Services,Telecom Services,0.9303,6
2018-08-31,Communication Services,Telecom Services,0.9447,6
2018-09-28,Communication Services,Telecom Services,0.9867,6
2018-10-31,Communication Services,Telecom Services,0.9881,6
2018-11-30,Communication Services,Telecom Services,0.9829,6
2018-12-31,Communication Services,Telecom Services,0.9837,6
2019-01-31,Communication Services,Telecom Services,0.8962,6
2019-02-28,Communication Services,Telecom Services,0.8706,6
2019-03-29,Communication Services,Telecom Services,0.8198,6
2019-04-30,Communication Services,Telecom Services,0.8034,6
2019-05-31,Communication Services,Telecom Services,0.7867,6
2019-06-28,Communication Services,Telecom Services,0.8002,6
2019-07-31,Communication Services,Telecom Services,0.7894,7
2019-08-30,Communication Services,Telecom Services,0.7790,7
2019-09-30,Communication Services,Telecom Services,0.7620,7
2019-10-31,Communication Services,Telecom Services,0.7516,7
2019-11-29,Communication Services,Telecom Services,0.7431,7
2019-12-31,Communication Services,Telecom Services,0.7342,7
2020-01-31,Communication Services,Telecom Services,0.7298,7
2020-02-28,Communication Services,Telecom Services,0.7368,7
2020-03-31,Communication Services,Telecom Services,0.7492,7
2020-04-30,Communication Services,Telecom Services,0.7631,7
2020-05-29,Communication Services,Telecom Services,0.7315,7
2020-06-30,Communication Services,Telecom Services,0.8238,7
2020-07-31,Communication Services,Telecom Services,0.8248,7
2020-08-31,Communication Services,Telecom Services,0.8330,7
2020-09-30,Communication Services,Telecom Services,0.8252,7
2020-10-30,Communication Services,Telecom Services,0.8199,7
2020-11-30,Communication Services,Telecom Services,0.8038,7
2020-12-31,Communication Services,Telecom Services,0.7881,7
2021-01-29,Communication Services,Telecom Services,0.7837,7
2021-02-26,Communication Services,Telecom Services,0.7852,7
2021-03-31,Communication Services,Telecom Services,0.7942,7
2021-04-30,Communication Services,Telecom Services,0.7934,7
2021-05-28,Communication Services,Telecom Services,0.7927,7
2021-06-30,Communication Services,Telecom Services,0.7399,7
2021-07-30,Communication Services,Telecom Services,0.7308,7
2021-08-31,Communication Services,Telecom Services,0.7279,7
2021-09-30,Communication Services,Telecom Services,0.7212,7
2021-10-29,Communication Services,Telecom Services,0.7232,7
2021-11-30,Communication Services,Telecom Services,0.7439,7
2021-12-31,Communication Services,Telecom Services,0.7643,7
2022-01-31,Communication Services,Telecom Services,0.7954,7
2022-02-28,Communication Services,Telecom Services,0.7993,7
2022-03-31,Communication Services,Telecom Services,0.8050,7
2022-04-29,Communication Services,Telecom Services,0.7835,7
2022-05-31,Communication Services,Telecom Services,0.7724,7
2022-06-30,Communication Services,Telecom Services,0.7150,7
2022-07-29,Communication Services,Telecom Services,0.7191,7
2022-08-31,Communication Services,Telecom Services,0.6613,7
2022-09-30,Communication Services,Telecom Services,0.6605,7
2022-10-31,Communication Services,Telecom Services,0.6703,7
2022-11-30,Communication Services,Telecom Services,0.6791,7
2022-12-30,Communication Services,Telecom Services,0.7051,7
2023-01-31,Communication Services,Telecom Services,0.7067,7
2023-02-28,Communication Services,Telecom Services,0.7016,7
2023-03-31,Communication Services,Telecom Services,0.7031,6
2023-04-28,Communication Services,Telecom Services,0.7004,6
2023-05-31,Communication Services,Telecom Services,0.7164,6
2026-03-31,Communication Services,Telecom Services,1.1029,6
2026-04-30,Communication Services,Telecom Services,1.1184,6
2026-05-29,Communication Services,Telecom Services,1.1263,6
2026-06-30,Communication Services,Telecom Services,1.1388,6
2026-07-31,Communication Services,Telecom Services,1.2767,6
2026-08-12,Communication Services,Telecom Services,1.2727,6
2016-04-29,Consumer Cyclical,Apparel Manufacturing,1.3052,6
2016-05-31,Consumer Cyclical,Apparel Manufacturing,1.3639,6
2016-06-30,Consumer Cyclical,Apparel Manufacturing,1.3720,6
2016-07-29,Consumer Cyclical,Apparel Manufacturing,1.4058,6
2016-08-31,Consumer Cyclical,Apparel Manufacturing,1.4324,6
2016-09-30,Consumer Cyclical,Apparel Manufacturing,1.4595,6
2016-10-31,Consumer Cyclical,Apparel Manufacturing,1.4812,6
2016-11-30,Consumer Cyclical,Apparel Manufacturing,1.5702,6
