ticker,tenor_days,n_dates,svix2_mean,implied_vol_pct,premium_bps,premium_sd_bps,premium_bps_median_benchmark,premium_bps_trapezoid_only,market_cap,sector
APO,365,5,0.155844,38.06,-53.9,13.6,183.8,-130.7,76758802432.0,Financial Services
APP,365,5,0.722801,73.75,2780.9,102.2,3018.6,2177.4,103330037760.0,Communication Services
ARE,365,5,0.235566,45.99,344.7,27.1,582.4,294.0,9110723584.0,Real Estate
ARES,365,5,0.204013,43.09,186.9,20.2,424.6,85.9,46254391296.0,Financial Services
AVGO,365,5,0.316391,52.43,748.8,48.2,986.5,394.5,1979391279104.0,Technology
AXON,365,3,0.522463,64.83,1783.1,221.7,2018.2,932.1,49900896256.0,Industrials
AXP,365,5,0.092362,29.72,-371.3,22.4,-133.6,-393.1,232360591360.0,Financial Services
BA,365,5,0.139151,36.09,-137.4,10.7,100.3,-208.4,170008608768.0,Industrials
BAC,365,5,0.072449,26.45,-470.9,24.8,-233.2,-477.1,453200019456.0,Financial Services
BAX,365,1,0.229708,45.47,271.8,0.0,529.9,215.7,13653864448.0,Healthcare
BBY,365,5,0.177134,40.38,52.5,29.7,290.3,-26.2,18802534400.0,Consumer Cyclical
BDX,365,5,0.097907,30.56,-343.6,23.2,-105.9,-353.2,50004770816.0,Healthcare
BEN,365,1,0.135355,35.63,-167.8,0.0,76.6,-171.3,17259372544.0,Financial Services
BF-B,365,5,0.158569,38.36,-40.3,50.2,197.4,-125.9,13045511168.0,Consumer Defensive
BG,365,5,0.117613,33.35,-245.1,32.7,-7.4,-270.9,22395326464.0,Consumer Defensive
BIIB,365,5,0.150708,37.47,-79.6,18.6,158.1,-139.7,31003222016.0,Healthcare
BKNG,365,5,0.154817,37.94,-59.0,16.0,178.7,-79.4,159488016384.0,Consumer Cyclical
BKR,365,5,0.147694,37.12,-94.7,18.5,143.1,-186.9,62320074752.0,Energy
BLDR,365,5,0.387210,57.21,1102.9,36.7,1340.6,798.2,7566182912.0,Industrials
BLK,365,5,0.092554,29.75,-370.4,23.8,-132.6,-399.8,188620242944.0,Financial Services
BMY,365,5,0.103584,31.39,-315.2,14.3,-77.5,-359.7,130120925184.0,Healthcare
BNY,365,5,0.094954,30.12,-358.4,13.3,-120.6,-386.6,106687995904.0,Financial Services
BRK-B,365,5,0.034666,18.46,-659.8,28.2,-422.1,-661.3,1105419698176.0,Financial Services
BSX,365,5,0.217650,44.38,255.1,17.2,492.8,220.3,74519379968.0,Healthcare
BX,365,5,0.155439,38.01,-55.9,11.8,181.8,-133.2,168955346944.0,Financial Services
C,365,5,0.108641,32.11,-289.9,19.7,-52.2,-325.1,230781763584.0,Financial Services
CAH,365,5,0.107692,31.98,-294.7,26.5,-57.0,-327.2,54694834176.0,Healthcare
CARR,365,5,0.154068,37.85,-62.8,25.4,174.9,-121.9,51751124992.0,Industrials
CAT,365,5,0.233797,45.84,335.9,22.0,573.6,183.5,393297821696.0,Industrials
CB,365,5,0.060608,24.26,-530.1,24.6,-292.4,-531.9,132456660992.0,Financial Services
CBOE,365,5,0.151750,37.59,-74.4,18.9,163.3,-128.5,30926202880.0,Financial Services
CCI,365,5,0.127723,34.67,-194.5,32.6,43.2,-206.5,32622051328.0,Real Estate
CCL,365,5,0.246147,46.91,397.6,55.3,635.3,226.1,38514536448.0,Consumer Cyclical
CDNS,365,5,0.248906,47.15,411.4,58.3,649.1,212.3,89590554624.0,Technology
CEG,365,5,0.291341,50.56,623.6,35.6,861.3,461.3,96697581568.0,Utilities
CF,365,5,0.218508,44.46,259.4,13.3,497.1,87.3,19023202304.0,Basic Materials
CFG,365,5,0.096125,30.30,-352.5,25.6,-114.8,-350.1,31474544640.0,Financial Services
CHRW,365,5,0.174853,40.14,41.1,19.0,278.8,-52.3,16806716416.0,Industrials
CHTR,365,5,0.456438,61.32,1449.1,24.5,1686.8,759.2,20792123392.0,Communication Services
CI,365,5,0.110425,32.36,-281.0,20.8,-43.3,-308.1,72367538176.0,Healthcare
CL,365,5,0.073994,26.72,-463.2,16.8,-225.4,-499.7,73594994688.0,Consumer Defensive
CLX,365,5,0.122582,34.00,-220.2,13.5,17.5,-258.5,12823524352.0,Consumer Defensive
CMCSA,365,5,0.148704,37.23,-89.6,37.7,148.1,-118.7,90383769600.0,Communication Services
CME,365,5,0.099842,30.85,-333.9,20.3,-96.2,-353.9,94270898176.0,Financial Services
CMG,365,5,0.188477,41.55,109.3,25.0,347.0,39.4,42391502848.0,Consumer Cyclical
CNC,365,4,0.248332,47.10,403.0,28.8,644.3,142.4,31684839424.0,Healthcare
COF,365,5,0.117647,33.35,-244.9,25.6,-7.2,-286.2,136466948096.0,Financial Services
COIN,365,5,0.769395,75.54,3013.9,82.3,3251.6,2256.0,45472296960.0,Financial Services
COP,365,5,0.109321,32.21,-286.5,13.3,-48.8,-296.7,152930271232.0,Energy
COR,365,5,0.084057,28.41,-412.8,39.3,-175.1,-416.4,59885383680.0,Healthcare
COST,365,5,0.075642,27.00,-454.9,12.3,-217.2,-480.2,421116411904.0,Consumer Defensive
CPRT,365,5,0.156415,38.12,-51.1,48.5,186.7,-66.5,31783108608.0,Industrials
CRH,365,5,0.150906,37.49,-78.6,18.5,159.1,-103.8,61931331584.0,Basic Materials
CRM,365,5,0.259908,48.07,466.4,21.5,704.1,355.5,161727938560.0,Technology
CSCO,365,5,0.193862,42.09,136.2,29.3,373.9,-43.2,488264925184.0,Technology
CSGP,365,5,0.385975,57.13,1096.7,101.7,1334.5,683.2,13071674368.0,Real Estate
CSX,365,5,0.081625,28.01,-425.0,28.7,-187.3,-447.4,92771942400.0,Industrials
CTAS,365,5,0.096419,30.34,-351.0,16.8,-113.3,-377.7,79841837056.0,Industrials
CTSH,365,5,0.276623,49.42,550.0,87.8,787.7,295.5,27807670272.0,Technology
CVNA,365,3,0.529249,65.17,1827.7,89.3,2058.2,1173.4,106426925056.0,Consumer Cyclical
CVS,365,5,0.121858,33.91,-223.8,24.1,13.9,-263.5,121144074240.0,Healthcare
CVX,365,5,0.082131,28.09,-422.5,27.9,-184.8,-428.8,385651212288.0,Energy
D,365,2,0.053779,22.89,-558.9,28.3,-325.0,-566.3,59341615104.0,Utilities
DAL,365,5,0.179583,40.64,64.8,28.2,302.5,-68.5,60067287040.0,Industrials
DASH,365,5,0.300317,51.25,668.5,50.4,906.2,292.5,96886415360.0,Consumer Cyclical
DD,365,5,0.135274,35.62,-156.8,22.6,81.0,-225.7,18698051584.0,Basic Materials
DE,365,5,0.135998,35.71,-153.1,25.3,84.6,-225.8,167404404736.0,Industrials
DECK,365,5,0.229269,45.43,313.2,37.5,550.9,177.3,12101120000.0,Consumer Cyclical
DG,365,5,0.189181,41.63,112.8,24.8,350.5,14.2,27193921536.0,Consumer Defensive
DHI,365,5,0.151694,37.58,-74.7,29.2,163.1,-129.2,41622347776.0,Consumer Cyclical
DHR,365,5,0.120812,33.77,-229.1,21.4,8.6,-282.4,145827430400.0,Healthcare
DIS,365,5,0.096718,30.38,-349.5,21.9,-111.8,-367.0,178763890688.0,Communication Services
DLR,365,5,0.101558,31.10,-325.3,15.2,-87.6,-347.3,73193037824.0,Real Estate
DLTR,365,5,0.208366,43.51,208.7,52.0,446.4,2.8,24865470464.0,Consumer Defensive
DOC,365,1,0.084634,28.50,-453.6,0.0,-195.4,,15029682176.0,Real Estate
DOV,365,5,0.092807,29.79,-369.1,31.8,-131.4,-378.1,27888234496.0,Industrials
DOW,365,5,0.234761,45.92,340.7,19.1,578.4,189.0,23765010432.0,Basic Materials
DPZ,365,5,0.137728,35.92,-144.5,9.8,93.2,-171.0,11455212544.0,Consumer Cyclical
DRI,365,5,0.104164,31.48,-312.3,28.9,-74.6,-350.6,25576415232.0,Consumer Cyclical
DUK,365,5,0.045992,21.21,-603.2,23.3,-365.5,-591.0,96285425664.0,Utilities
DVA,365,5,0.184685,41.17,90.3,16.0,328.0,68.8,11247779840.0,Healthcare
DVN,365,5,0.155767,38.05,-54.3,28.6,183.4,-103.1,54229999616.0,Energy
DXCM,365,3,0.220174,44.61,256.8,38.7,498.7,60.9,33868128256.0,Healthcare
EBAY,365,5,0.138453,36.01,-140.9,28.8,96.8,-203.4,45897297920.0,Consumer Cyclical
ECHO,365,5,0.379948,56.75,1066.6,86.6,1304.3,646.1,25249452032.0,Communication Services
ED,365,5,0.048380,21.74,-591.2,23.0,-353.5,-572.6,40237359104.0,Utilities
EIX,365,5,0.109810,32.28,-284.1,15.5,-46.4,-328.8,28730214400.0,Utilities
EL,365,5,0.233053,45.77,332.1,44.1,569.9,138.8,30513780736.0,Consumer Defensive
ELV,365,5,0.133562,35.41,-165.3,29.3,72.4,-211.5,84659265536.0,Healthcare
EMR,365,5,0.110313,32.35,-281.6,17.5,-43.9,-312.3,91367645184.0,Industrials
EOG,365,5,0.121380,33.85,-226.2,12.7,11.5,-248.6,75081105408.0,Energy
EQT,365,5,0.121877,33.91,-223.7,33.5,14.0,-282.9,33709058048.0,Energy
ETN,365,4,0.196734,42.38,153.4,11.0,389.5,-81.3,178648465408.0,Industrials
ETR,365,5,0.065487,25.19,-505.7,24.7,-268.0,-510.3,50088222720.0,Utilities
EW,365,5,0.123777,34.16,-214.2,13.4,23.5,-257.2,52798238720.0,Healthcare
EXC,365,5,0.064061,24.92,-512.8,37.5,-275.1,-527.6,46423244800.0,Utilities
EXE,365,5,0.117794,33.37,-244.2,15.7,-6.4,-240.0,22240569344.0,Energy
EXPE,365,2,0.255312,47.68,415.9,17.9,667.1,127.2,39930146816.0,Consumer Cyclical
F,365,5,0.189516,41.66,114.5,37.2,352.2,46.4,55148449792.0,Consumer Cyclical
FANG,365,5,0.152014,37.62,-73.1,27.7,164.7,-133.7,59362738176.0,Energy
FAST,365,2,0.088409,29.11,-401.8,0.2,-161.0,-441.6,58545328128.0,Industrials
FDX,365,5,0.125442,34.38,-205.9,20.9,31.8,-264.3,76280872960.0,Industrials
FFIV,365,5,0.201963,42.89,176.7,22.0,414.4,7.8,21393184768.0,Technology
FICO,365,5,0.336342,53.85,848.6,19.9,1086.3,716.5,24831881216.0,Technology
FITB,365,5,0.094372,30.03,-361.3,22.2,-123.6,-388.9,52654182400.0,Financial Services
FTNT,365,2,0.358929,55.38,989.1,12.3,1212.7,388.4,117401518080.0,Technology
GD,365,5,0.060117,24.16,-532.5,30.4,-294.8,-542.6,106656342016.0,Industrials
GE,365,5,0.136077,35.72,-152.7,28.0,85.0,-237.8,379052687360.0,Industrials
GILD,365,5,0.096865,30.41,-348.8,18.3,-111.1,-359.3,168472707072.0,Healthcare
GIS,365,5,0.116038,33.13,-252.9,20.5,-15.2,-301.0,19885973504.0,Consumer Defensive
GM,365,4,0.149516,37.33,-91.1,17.7,150.2,-194.0,78470217728.0,Consumer Cyclical
GOOGL,365,5,0.145981,36.91,-103.2,13.2,134.5,-117.1,4201472065536.0,Communication Services
GPN,365,5,0.219853,44.58,266.1,22.5,503.8,56.0,24622741504.0,Industrials
GRMN,365,5,0.116045,33.13,-252.9,23.4,-15.2,-291.1,59822862336.0,Technology
GS,365,5,0.142642,36.52,-119.9,12.7,117.8,-205.1,302005878784.0,Financial Services
GWW,365,5,0.076751,27.19,-449.4,21.9,-211.7,-451.4,62297591808.0,Industrials
HCA,365,5,0.131131,35.10,-177.5,17.9,60.2,-204.4,87613825024.0,Healthcare
HD,365,5,0.094140,29.99,-362.4,11.0,-124.7,-388.6,353457930240.0,Consumer Cyclical
HLT,365,5,0.092528,29.75,-370.5,25.4,-132.8,-384.3,73643491328.0,Consumer Cyclical
HON,365,5,0.124885,34.30,-208.7,36.0,29.0,-263.1,74588659712.0,Industrials
HSY,365,5,0.097540,30.51,-345.4,18.3,-107.7,-362.8,37016535040.0,Consumer Defensive
IBM,365,5,0.229360,45.44,313.7,38.4,551.4,216.6,222324867072.0,Technology
ICE,365,5,0.105610,31.69,-305.1,11.4,-67.4,-320.6,84910915584.0,Financial Services
INTU,365,5,0.382548,56.91,1079.6,27.9,1317.3,866.7,91555561472.0,Technology
ISRG,365,5,0.173590,40.01,34.8,8.3,272.5,-4.0,143766224896.0,Healthcare
JNJ,365,5,0.068946,25.82,-488.4,19.1,-250.7,-497.0,628646084608.0,Healthcare
JPM,365,5,0.070964,26.18,-478.3,25.7,-240.6,-489.8,970716413952.0,Financial Services
KLAC,365,1,0.645078,70.55,2392.1,0.0,2630.9,1607.3,272088367104.0,Technology
KMB,365,5,0.084993,28.56,-408.2,19.8,-170.4,-430.3,36227833856.0,Consumer Defensive
KO,365,5,0.050009,22.09,-583.1,26.0,-345.4,-586.5,373074034688.0,Consumer Defensive
LIN,365,5,0.064371,24.98,-511.3,30.3,-273.6,-510.6,221007708160.0,Basic Materials
LLY,365,5,0.167374,39.34,3.7,15.6,241.5,-124.0,1088174161920.0,Healthcare
LMT,365,5,0.089896,29.34,-383.6,28.6,-145.9,-400.7,140025364480.0,Industrials
LOW,365,5,0.115913,33.12,-253.6,23.9,-15.9,-273.5,124121251840.0,Consumer Cyclical
MA,365,5,0.071363,26.25,-476.3,24.7,-238.6,-485.7,490329014272.0,Financial Services
MAR,365,5,0.099339,30.77,-336.4,17.2,-98.7,-357.1,92462505984.0,Consumer Cyclical
MCD,365,5,0.064107,24.93,-512.6,36.0,-274.9,-524.3,195096772608.0,Consumer Cyclical
MCK,365,5,0.099769,30.84,-334.3,17.8,-96.6,-352.1,102451445760.0,Healthcare
MDLZ,365,5,0.079895,27.72,-433.6,24.0,-195.9,-442.2,79360835584.0,Consumer Defensive
MDT,365,5,0.086817,28.85,-399.0,22.2,-161.3,-419.5,116074496000.0,Healthcare
META,365,5,0.210343,43.69,218.6,11.0,456.3,178.2,1526261874688.0,Communication Services
MMM,365,5,0.092954,29.81,-368.4,21.1,-130.6,-410.0,94779465728.0,Industrials
MO,365,5,0.081191,27.94,-427.2,30.7,-189.5,-446.6,107498102784.0,Consumer Defensive
MRK,365,5,0.098923,30.71,-338.5,12.1,-100.8,-370.2,327936442368.0,Healthcare
MS,365,5,0.115621,33.08,-255.0,22.8,-17.3,-296.6,342130065408.0,Financial Services
MSFT,365,5,0.119234,33.56,-237.0,8.8,0.8,-303.7,3656561459200.0,Technology
MU,365,5,0.805671,76.87,3195.2,441.1,3432.9,2287.8,980900577280.0,Technology
NEE,365,5,0.072899,26.53,-468.6,16.5,-230.9,-467.8,178851774464.0,Utilities
NFLX,365,5,0.202303,42.92,178.4,20.1,416.1,178.6,311421042688.0,Communication Services
NOC,365,5,0.104631,31.55,-310.0,13.3,-72.3,-333.9,82015830016.0,Industrials
NOW,365,5,0.453815,61.17,1436.0,38.2,1673.7,1049.7,131858759680.0,Technology
NSC,365,5,0.058813,23.91,-539.1,35.1,-301.4,-535.9,75335892992.0,Industrials
NVDA,365,5,0.199066,42.61,162.2,9.0,399.9,104.6,5427683655680.0,Technology
ORCL,365,5,0.586796,67.95,2100.9,139.1,2338.6,1638.6,441518587904.0,Technology
ORLY,365,5,0.100727,30.98,-329.5,32.0,-91.8,-358.7,74464837632.0,Consumer Cyclical
PEP,365,5,0.070715,26.14,-479.5,13.6,-241.8,-491.6,189464199168.0,Consumer Defensive
PFE,365,5,0.068309,25.71,-491.6,26.0,-253.9,-492.3,151725309952.0,Healthcare
PG,365,5,0.057222,23.59,-547.0,23.0,-309.3,-550.8,334904328192.0,Consumer Defensive
PGR,365,5,0.088783,29.17,-389.2,24.8,-151.5,-393.3,123454300160.0,Financial Services
PLD,365,5,0.075409,26.96,-456.1,22.2,-218.4,-468.6,136802418688.0,Real Estate
PM,365,5,0.099808,30.84,-334.1,19.9,-96.4,-358.4,290198224896.0,Consumer Defensive
PNC,365,5,0.075996,27.06,-453.1,23.6,-215.4,-460.4,101928542208.0,Financial Services
PSX,365,5,0.139173,36.10,-137.3,38.4,100.5,-226.0,90011140096.0,Energy
QCOM,365,5,0.388227,57.27,1108.0,125.4,1345.7,790.5,171223515136.0,Technology
REGN,365,5,0.119399,33.58,-236.1,15.7,1.6,-287.3,82055127040.0,Healthcare
RTX,365,5,0.083864,28.38,-413.8,25.0,-176.1,-442.1,300226576384.0,Industrials
SBUX,365,5,0.105795,31.71,-304.2,30.5,-66.4,-339.6,123678597120.0,Consumer Cyclical
SCHW,365,5,0.090351,29.41,-381.4,40.1,-143.7,-427.7,189085564928.0,Financial Services
SHW,365,5,0.088509,29.12,-390.6,25.6,-152.9,-414.2,87441489920.0,Basic Materials
SLB,365,5,0.143712,36.64,-114.6,43.8,123.1,-220.8,79668805632.0,Energy
SO,365,5,0.050850,22.27,-578.9,22.6,-341.2,-574.5,106431578112.0,Utilities
SPGI,365,5,0.115394,33.05,-256.2,20.2,-18.4,-290.3,120481816576.0,Financial Services
STZ,365,5,0.118441,33.46,-240.9,24.4,-3.2,-273.4,22880952320.0,Consumer Defensive
SYK,365,5,0.106173,31.77,-302.3,11.6,-64.5,-331.8,133180399616.0,Healthcare
SYY,365,5,0.069738,25.96,-484.4,26.3,-246.7,-505.9,40322084864.0,Consumer Defensive
T,365,5,0.091560,29.60,-375.3,10.8,-137.6,-386.6,166170361856.0,Communication Services
TGT,365,5,0.148392,37.20,-91.2,27.0,146.5,-184.7,69046132736.0,Consumer Defensive
TJX,365,5,0.072462,26.45,-470.8,26.3,-233.1,-480.0,168588935168.0,Consumer Cyclical
TMO,365,5,0.114879,32.98,-258.7,10.6,-21.0,-313.4,222961319936.0,Healthcare
TSLA,365,5,0.316946,52.47,751.6,41.3,989.3,598.9,1293516406784.0,Consumer Cyclical
TXN,365,5,0.283772,49.98,585.7,45.2,823.4,310.2,252595175424.0,Technology
UBER,365,5,0.175703,40.23,45.4,30.1,283.1,-114.5,153927335936.0,Technology
UNH,365,5,0.114115,32.87,-262.5,23.2,-24.8,-293.3,361003646976.0,Healthcare
UNP,365,5,0.078863,27.55,-438.8,12.5,-201.1,-461.7,174497808384.0,Industrials
USB,365,5,0.077776,27.37,-444.2,21.7,-206.5,-450.3,100167131136.0,Financial Services
V,365,5,0.069982,26.01,-483.2,25.0,-245.5,-499.1,671054168064.0,Financial Services
VRTX,365,5,0.117679,33.35,-244.7,14.4,-7.0,-277.5,133252005888.0,Healthcare
VZ,365,5,0.076110,27.08,-452.6,11.3,-214.9,-464.0,196396236800.0,Communication Services
WFC,365,5,0.089177,29.23,-387.2,16.1,-149.5,-406.6,268924256256.0,Financial Services
WM,365,5,0.058875,23.92,-538.7,25.6,-301.0,-536.8,90675396608.0,Industrials
WMT,365,5,0.090075,29.37,-382.7,25.1,-145.0,-401.0,923216773120.0,Consumer Defensive
XOM,365,5,0.094576,30.06,-360.2,28.5,-122.5,-378.8,656877944832.0,Energy
ZTS,365,5,0.192865,41.99,131.2,26.4,368.9,38.2,30388465664.0,Healthcare
