ticker,semidev,price,shares,market_cap,px_asof,n_closes
CRL,31.6916,279.19,48486000.0,13536806340.0,2026-08-18,753
CRM,26.043615,196.14,871000000.0,170837940000.0,2026-08-18,753
CRWD,29.814474,212.92,1031524000.0,219632090080.0,2026-08-18,753
CSCO,16.802185,111.61,3987000000.0,444989070000.0,2026-08-18,753
CSGP,28.904097,31.38,404400000.0,12690072000.0,2026-08-18,753
CSX,14.453998,50.24,1859000000.0,93396160000.0,2026-08-18,753
CTAS,14.42182,199.45,404307000.0,80639031150.0,2026-08-18,753
CTSH,20.587611,57.78,466000000.0,26925480000.0,2026-08-18,753
CTVA,17.712574,77.91,671600000.0,52324356000.0,2026-08-18,753
CVNA,37.972786,65.0,739960000.0,48097400000.0,2026-08-18,753
CVS,24.378229,94.91,1283000000.0,121769530000.0,2026-08-18,753
CVX,16.411523,203.96,1975087000.0,402838744520.0,2026-08-18,753
D,14.443013,68.61,882100000.0,60520881000.0,2026-08-18,753
DAL,22.05964,85.7,657000000.0,56304900000.0,2026-08-18,753
DASH,28.798303,216.35,439345000.0,95052290750.0,2026-08-18,753
DD,15.525058,138.81,137200000.0,19044732000.0,2026-08-18,753
DDOG,30.624582,246.0,368271000.0,90594666000.0,2026-08-18,753
DE,18.183069,588.72,270800000.0,159425376000.0,2026-08-18,753
DECK,34.387744,89.51,138559000.0,12402416090.0,2026-08-18,753
DELL,31.49021,468.65,656000000.0,307434400000.0,2026-08-18,753
DG,29.493951,120.84,221559000.0,26773189560.0,2026-08-18,753
DGX,14.576426,236.25,112000000.0,26460000000.0,2026-08-18,753
DHI,22.518776,145.68,288400000.0,42014112000.0,2026-08-18,753
DHR,18.001257,199.58,707600000.0,141222808000.0,2026-08-18,753
DIS,15.930183,103.95,1743000000.0,181184850000.0,2026-08-18,753
DLR,14.39074,195.25,361542000.0,70591075500.0,2026-08-18,753
DLTR,29.099999,130.48,197400000.0,25756752000.0,2026-08-18,753
DOC,16.769347,20.44,689885000.0,14101249400.0,2026-08-18,753
DOV,12.788717,203.06,135553000.0,27525392180.0,2026-08-18,753
DOW,32.265928,31.19,709500000.0,22129305000.0,2026-08-18,753
DPZ,19.655274,336.25,33318000.0,11203177500.0,2026-08-18,753
DRI,17.492797,218.86,115200000.0,25212672000.0,2026-08-18,753
DTE,12.231371,140.21,208000000.0,29163680000.0,2026-08-18,753
DUK,11.14876,123.99,779000000.0,96588210000.0,2026-08-18,753
DVA,23.194204,177.91,66092000.0,11758427720.0,2026-08-18,753
DVN,24.365408,47.83,940000000.0,44960200000.0,2026-08-18,753
DXCM,37.987445,89.6,391800000.0,35105280000.0,2026-08-18,753
EBAY,24.870345,102.27,457000000.0,46737390000.0,2026-08-18,753
ECHO,46.132091,90.0,351622000.0,31645980000.0,2026-08-18,753
ECL,13.490335,280.0,282900000.0,79212000000.0,2026-08-18,753
ED,12.426361,108.27,370000000.0,40059900000.0,2026-08-18,753
EFX,25.100251,181.84,119200000.0,21675328000.0,2026-08-18,753
EG,18.390206,367.38,40283800.0,14799462444.0,2026-08-18,753
EIX,20.537347,73.69,387000000.0,28518030000.0,2026-08-18,753
EL,34.271588,84.27,365400000.0,30792258000.0,2026-08-18,753
ELV,30.001889,398.27,217900000.0,86783033000.0,2026-08-18,753
EME,25.620057,824.53,45051000.0,37145901030.0,2026-08-18,753
EMR,16.341013,157.78,561100000.0,88530358000.0,2026-08-18,753
EOG,18.887151,148.7,529000000.0,78662300000.0,2026-08-18,753
EQIX,17.538303,1079.93,99136000.0,107059940480.0,2026-08-18,753
EQR,13.680841,64.03,383878000.0,24579708340.0,2026-08-18,753
EQT,24.254992,53.14,625549000.0,33241673860.0,2026-08-18,753
ERIE,23.586148,256.95,52298700.0,13438150965.0,2026-08-18,753
ES,19.167445,72.22,376998900.0,27226860558.0,2026-08-18,753
ESS,15.204407,283.71,64461600.0,18288400536.0,2026-08-18,753
ETN,19.35897,431.33,389500000.0,168003035000.0,2026-08-18,753
ETR,13.929711,108.08,466308900.0,50398665912.0,2026-08-18,753
EVRG,11.357051,83.42,236500000.0,19728830000.0,2026-08-18,753
EW,22.388024,90.98,577600000.0,52550048000.0,2026-08-18,753
EXC,13.061169,45.31,1028000000.0,46578680000.0,2026-08-18,753
EXE,21.459508,95.45,238357000.0,22751175650.0,2026-08-18,753
EXPD,20.476458,185.95,132724000.0,24680027800.0,2026-08-18,753
EXPE,28.049074,321.42,123763000.0,39779903460.0,2026-08-18,753
EXR,17.973617,146.92,220343000.0,32372793560.0,2026-08-18,753
F,22.477886,13.93,3987000000.0,55538910000.0,2026-08-18,753
FANG,23.347003,210.02,281202000.0,59058044040.0,2026-08-18,753
FAST,16.722341,51.27,1150300000.0,58975881000.0,2026-08-18,753
FCX,30.410865,66.32,1443000000.0,95699760000.0,2026-08-18,753
FDS,27.166755,285.41,36957000.0,10547897370.0,2026-08-18,753
FDX,20.096446,328.38,241000000.0,79139580000.0,2026-08-18,753
FE,12.364745,47.26,579000000.0,27363540000.0,2026-08-18,753
FERG,18.805625,244.47,194000000.0,47427180000.0,2026-08-18,753
FFIV,20.15195,393.62,57674000.0,22701639880.0,2026-08-18,753
FICO,35.890808,1078.12,22703000.0,24476558360.0,2026-08-18,753
FIS,22.084577,40.95,517000000.0,21171150000.0,2026-08-18,753
FISV,56.182843,51.72,535897400.0,27716613528.0,2026-08-18,753
FITB,15.875091,57.29,915959000.0,52475291110.0,2026-08-18,753
FIX,30.475371,1739.08,35254000.0,61309526320.0,2026-08-18,753
FLEX,25.856976,120.24,374000000.0,44969760000.0,2026-08-18,753
FOX,17.86706,61.23,432000000.0,26451360000.0,2026-08-18,753
FOXA,18.179345,69.03,439000000.0,30304170000.0,2026-08-18,753
FRT,11.907448,117.48,86183000.0,10124778840.0,2026-08-18,753
FSLR,39.592039,220.01,107732000.0,23702117320.0,2026-08-18,753
FTNT,29.757778,158.01,741300000.0,117132813000.0,2026-08-18,753
FTV,15.06956,59.45,307600000.0,18286820000.0,2026-08-18,753
GD,13.106322,393.48,273800000.0,107734824000.0,2026-08-18,753
GDDY,26.993731,95.8,130994000.0,12549225200.0,2026-08-18,753
GE,20.235884,375.09,1048672600.0,393346605534.0,2026-08-18,753
GEHC,21.773101,72.63,454000000.0,32974020000.0,2026-08-18,753
GEN,17.449482,27.64,603000000.0,16666920000.0,2026-08-18,753
GEV,29.208299,1004.53,270000000.0,271223100000.0,2026-08-18,600
GILD,16.907377,143.44,1243000000.0,178295920000.0,2026-08-18,753
GIS,17.148434,38.08,536900000.0,20445152000.0,2026-08-18,753
GL,14.82495,178.08,79801200.0,14210997696.0,2026-08-18,753
GLW,26.919873,159.9,873437500.0,139662656250.0,2026-08-18,753
GM,21.168292,83.71,919444000.0,76966657240.0,2026-08-18,753
GNRC,26.021097,211.56,59436400.0,12574364784.0,2026-08-18,753
GOOG,15.498314,341.28,12309000000.0,4200815520000.0,2026-08-18,753
GOOGL,15.940486,344.2,12309000000.0,4236757800000.0,2026-08-18,753
GPC,23.466098,131.89,138017000.0,18203062130.0,2026-08-18,753
GPN,22.615237,90.37,259420000.0,23443785400.0,2026-08-18,753
GRMN,19.750251,297.44,193471000.0,57546014240.0,2026-08-18,753
GS,14.505409,1040.47,304900000.0,317239303000.0,2026-08-18,753
GWW,15.807432,1314.12,47300000.0,62157876000.0,2026-08-18,753
HAL,24.212265,34.66,838000000.0,29045080000.0,2026-08-18,753
HAS,19.238326,93.29,143200000.0,13359128000.0,2026-08-18,753
HBAN,17.140058,17.66,1975000000.0,34878500000.0,2026-08-18,753
HCA,20.363429,411.73,222828000.0,91744972440.0,2026-08-18,753
HD,14.70384,337.49,996000000.0,336140040000.0,2026-08-18,753
HIG,13.433678,138.96,282600000.0,39270096000.0,2026-08-18,753
HII,28.091397,317.61,39500000.0,12545595000.0,2026-08-18,753
HLT,13.526582,327.74,229000000.0,75052460000.0,2026-08-18,753
HON,13.778596,227.71,319000000.0,72639490000.0,2026-08-18,753
HOOD,38.293431,91.53,913000000.0,83566890000.0,2026-08-18,753
HPE,23.747368,55.69,1432000000.0,79748080000.0,2026-08-18,753
HPQ,23.348064,29.96,925000000.0,27713000000.0,2026-08-18,753
HRL,20.9335,24.34,550810000.0,13406715400.0,2026-08-18,753
HSIC,17.54634,89.23,114390400.0,10207055392.0,2026-08-18,753
HST,14.042361,22.92,693900000.0,15904188000.0,2026-08-18,753
HSY,18.295627,183.45,204274600.0,37474175370.0,2026-08-18,753
HUBB,17.733292,483.86,53313800.0,25796415268.0,2026-08-18,753
HUM,36.927803,382.0,120893000.0,46181126000.0,2026-08-18,753
HWM,18.738773,292.65,402000000.0,117645300000.0,2026-08-18,753
IBKR,20.722174,90.56,450088000.0,40759969280.0,2026-08-18,753
IBM,22.980444,232.67,952700000.0,221664709000.0,2026-08-18,753
ICE,15.288132,156.18,566000000.0,88397880000.0,2026-08-18,753
IDXX,18.947479,553.32,80675000.0,44639091000.0,2026-08-18,753
IEX,16.798745,234.16,74200000.0,17374672000.0,2026-08-18,753
IFF,20.179202,81.0,257000000.0,20817000000.0,2026-08-18,753
INCY,21.469087,123.47,208216000.0,25708429520.0,2026-08-18,753
INTC,39.679977,96.685,5104000000.0,493480240000.0,2026-08-18,753
INTU,32.127972,350.41,276000000.0,96713160000.0,2026-08-18,753
INVH,14.525344,29.72,592497800.0,17609034616.0,2026-08-18,753
IP,27.6845,40.05,529500000.0,21206475000.0,2026-08-18,753
IQV,23.937806,240.03,168600000.0,40469058000.0,2026-08-18,753
IR,19.258262,80.77,392040800.0,31665135416.0,2026-08-18,753
IRM,20.389249,126.67,299849000.0,37981872830.0,2026-08-18,753
ISRG,17.355814,391.18,358500000.0,140238030000.0,2026-08-18,753
IT,39.911382,182.07,66581000.0,12122402670.0,2026-08-18,753
ITW,12.58702,284.66,287000000.0,81697420000.0,2026-08-18,753
IVZ,17.298959,32.38,454400000.0,14713472000.0,2026-08-18,753
J,20.454555,142.86,119006000.0,17001197160.0,2026-08-18,753
JBHT,19.657125,274.19,94944000.0,26032695360.0,2026-08-18,753
JBL,23.566818,338.62,106500000.0,36063030000.0,2026-08-18,753
JCI,15.826505,149.68,613000000.0,91753840000.0,2026-08-18,753
JKHY,17.632113,153.12,71978000.0,11021271360.0,2026-08-18,753
JNJ,11.830372,271.11,2440100000.0,661535511000.0,2026-08-18,753
JPM,13.943,363.25,2793700000.0,1014811525000.0,2026-08-18,753
KDP,19.647464,30.79,1364500000.0,42012955000.0,2026-08-18,753
KEY,16.118227,22.79,1071229000.0,24413308910.0,2026-08-18,753
KEYS,16.455086,341.0,173000000.0,58993000000.0,2026-08-18,753
KHC,18.087521,24.82,1186000000.0,29436520000.0,2026-08-18,753
KIM,12.650025,24.22,672282000.0,16282670040.0,2026-08-18,753
KKR,22.493152,107.19,945581900.0,101356923861.0,2026-08-18,753
KLAC,27.339707,194.79,1319633000.0,257051312070.0,2026-08-18,753
KMB,19.472452,107.72,333300000.0,35903076000.0,2026-08-18,753
KMI,15.652072,32.87,2225000000.0,73135750000.0,2026-08-18,753
KO,10.734303,88.82,4313000000.0,383080660000.0,2026-08-18,753
KR,16.936256,56.34,615000000.0,34649100000.0,2026-08-18,753
KVUE,23.033236,18.8,1923000000.0,36152400000.0,2026-08-18,753
L,12.064534,112.3875,205500000.0,23095631250.0,2026-08-18,753
LDOS,22.824352,143.48,127000000.0,18221960000.0,2026-08-18,753
LEN,23.398031,84.94,242607000.0,20607038580.0,2026-08-18,753
LH,15.258502,322.18,82000000.0,26418760000.0,2026-08-18,753
LHX,16.42425,279.54,188235300.0,52619295762.0,2026-08-18,753
LII,22.638198,411.05,34800000.0,14304540000.0,2026-08-18,753
LIN,11.453773,478.705,464523000.0,222369482715.0,2026-08-18,753
LITE,48.313616,873.31,74600000.0,65148926000.0,2026-08-18,753
LLY,26.511216,1225.73,893700000.0,1095434901000.0,2026-08-18,753
LMT,20.009229,607.17,231100000.0,140316987000.0,2026-08-18,753
LNT,11.770167,69.98,260900000.0,18257782000.0,2026-08-18,753
LOW,16.120423,215.64,560000000.0,120758400000.0,2026-08-18,753
LRCX,26.527411,327.92,1261102000.0,413540567840.0,2026-08-18,753
LULU,36.07351,119.01,115482000.0,13743512820.0,2026-08-18,753
LUV,25.583466,42.49,498000000.0,21160020000.0,2026-08-18,753
LVS,24.680721,45.47,663000000.0,30146610000.0,2026-08-18,753
LYB,29.87225,65.33,323000000.0,21101590000.0,2026-08-18,753
LYV,20.517265,179.84,244036300.0,43887488192.0,2026-08-18,753
MA,14.516296,574.31,883000000.0,507115730000.0,2026-08-18,753
MAA,12.773441,130.17,116144000.0,15118464480.0,2026-08-18,753
MAR,14.364878,357.33,269400000.0,96264702000.0,2026-08-18,753
MAS,17.684217,73.38,198750000.0,14584275000.0,2026-08-18,753
MCD,12.110348,266.99,713500000.0,190497365000.0,2026-08-18,753
MCHP,25.360359,78.19,550500000.0,43043595000.0,2026-08-18,753
MCK,19.484203,869.26,119200000.0,103615792000.0,2026-08-18,753
MCO,17.418789,485.79,175900000.0,85450461000.0,2026-08-18,753
MDLZ,15.594324,62.66,1292000000.0,80956720000.0,2026-08-18,753
MDT,13.760659,92.09,1288100000.0,118621129000.0,2026-08-18,753
MET,14.321265,96.73,655700000.0,63425861000.0,2026-08-18,753
META,19.767516,543.67,2566000000.0,1395057220000.0,2026-08-18,753
MGM,22.169946,43.32,257758000.0,11166076560.0,2026-08-18,753
MKC,19.561346,55.28,269200000.0,14881376000.0,2026-08-18,753
MLM,15.946675,522.81,60200000.0,31473162000.0,2026-08-18,753
MMM,15.309532,180.94,527600000.0,95463944000.0,2026-08-18,753
MNST,17.151179,47.38,1976958000.0,93668270040.0,2026-08-18,753
MO,15.470266,65.19,1672000000.0,108997680000.0,2026-08-18,753
MOS,29.622897,21.14,317900000.0,6720406000.0,2026-08-18,753
MPC,23.202248,365.21,291000000.0,106276110000.0,2026-08-18,753
MPWR,26.934375,1333.1801,49251000.0,65660453105.1,2026-08-18,753
MRK,18.3818,135.17,2472000000.0,334140240000.0,2026-08-18,753
MRNA,40.928962,62.96,396000000.0,24932160000.0,2026-08-18,753
MRSH,16.529367,186.37,484000000.0,90203080000.0,2026-08-18,753
MRVL,36.274797,216.0,893300000.0,192952800000.0,2026-08-18,753
MS,13.431297,217.55,1593000000.0,346557150000.0,2026-08-18,753
MSCI,18.256541,562.77,73100000.0,41138487000.0,2026-08-18,753
MSFT,15.820456,481.63,7453000000.0,3589588390000.0,2026-08-18,753
MSI,17.763475,469.5,167200000.0,78500400000.0,2026-08-18,753
MTB,14.40963,251.5,156553000.0,39373079500.0,2026-08-18,753
MTD,22.463756,1399.67,20166300.0,28226165121.0,2026-08-18,753
MU,36.433426,940.76,1145000000.0,1077170200000.0,2026-08-18,753
NCLH,30.525742,17.61,463932400.0,8169849564.0,2026-08-18,753
NDAQ,15.791751,96.71,567800000.0,54911938000.0,2026-08-18,753
NDSN,13.325757,304.21,56113000.0,17070135730.0,2026-08-18,753
NEE,18.623812,86.22,2089000000.0,180113580000.0,2026-08-18,753
NEM,32.728203,115.98,1067000000.0,123750660000.0,2026-08-18,753
NFLX,22.958943,77.77,4261300000.0,331401301000.0,2026-08-18,753
NI,13.215444,42.12,481200000.0,20268144000.0,2026-08-18,753
NKE,27.923398,40.06,1482900000.0,59404974000.0,2026-08-18,753
NOC,18.399849,589.14,142400000.0,83893536000.0,2026-08-18,753
NOW,32.582162,119.49,1037000000.0,123911130000.0,2026-08-18,753
NRG,30.772305,115.56,210000000.0,24267600000.0,2026-08-18,753
NSC,12.330343,338.91,225102900.0,76289623839.0,2026-08-18,753
NTAP,20.596853,204.71,199000000.0,40737290000.0,2026-08-18,753
NTRS,14.198004,190.58,184890000.0,35236336200.0,2026-08-18,753
NUE,19.662032,264.19,228500000.0,60367415000.0,2026-08-18,753
NVDA,21.993026,219.74,24391000000.0,5359678340000.0,2026-08-18,753
NVR,18.086063,6248.37,2872000.0,17945318640.0,2026-08-18,753
NWS,16.471228,33.49,558400000.0,18700816000.0,2026-08-18,753
NWSA,15.856656,29.39,558400000.0,16411376000.0,2026-08-18,753
NXPI,20.973914,228.56,254021000.0,58059039760.0,2026-08-18,753
O,12.265031,62.21,934662000.0,58145323020.0,2026-08-18,753
ODFL,24.228476,208.0,208715000.0,43412720000.0,2026-08-18,753
OKE,19.883927,97.07,632000000.0,61348240000.0,2026-08-18,753
OMC,21.916785,86.31,204900000.0,17684919000.0,2026-08-18,753
ON,31.680891,79.42,404400000.0,32117448000.0,2026-08-18,753
ORCL,31.012706,142.79,2915000000.0,416232850000.0,2026-08-18,753
ORLY,15.056962,90.76,828875000.0,75228695000.0,2026-08-18,753
OTIS,18.369473,70.35,386400000.0,27183240000.0,2026-08-18,753
OXY,24.257859,59.8,1012200000.0,60529560000.0,2026-08-18,753
PANW,24.034205,374.14,744000000.0,278360160000.0,2026-08-18,753
PAYX,18.24866,119.93,358200000.0,42958926000.0,2026-08-18,753
PCAR,15.827355,128.02,527600000.0,67543352000.0,2026-08-18,753
PCG,19.373191,17.82,2285000000.0,40718700000.0,2026-08-18,753
PEG,14.239683,75.6,500000000.0,37800000000.0,2026-08-18,753
PEP,13.863056,140.13,1369000000.0,191837970000.0,2026-08-18,753
PFE,15.519087,27.25,5699000000.0,155297750000.0,2026-08-18,753
PFG,13.59133,113.14,218700000.0,24743718000.0,2026-08-18,753
PG,13.196347,143.45,2422500000.0,347507625000.0,2026-08-18,753
PGR,16.782023,207.23,584300000.0,121084489000.0,2026-08-18,753
PH,14.035074,1041.85,127800000.0,133148430000.0,2026-08-18,753
PHM,20.394605,126.05,193852500.0,24435107625.0,2026-08-18,753
PKG,16.504893,250.3,89000000.0,22276700000.0,2026-08-18,753
PLD,14.026937,140.02,957884000.0,134122917680.0,2026-08-18,753
PLTR,35.500842,171.54,2569826000.0,440827952040.0,2026-08-18,753
PM,19.302156,187.62,1562820500.0,293216382210.0,2026-08-18,753
PNC,13.711702,254.28,403950100.0,102716431428.0,2026-08-18,753
PNR,18.318532,63.55,162600000.0,10333230000.0,2026-08-18,753
PNW,11.422477,100.15,124494000.0,12468074100.0,2026-08-18,753
PODD,26.589511,148.03,69403000.0,10273726090.0,2026-08-18,753
PPG,17.058526,112.81,223900000.0,25258159000.0,2026-08-18,753
PPL,12.49163,35.62,757225000.0,26972354500.0,2026-08-18,753
PRU,14.968828,124.54,324642900.0,40431026766.0,2026-08-18,753
PSA,15.480826,323.1,176512000.0,57031027200.0,2026-08-18,753
PSKY,33.144635,10.43,1120000000.0,11681600000.0,2026-08-18,753
PSX,21.490156,243.49,402618000.0,98033456820.0,2026-08-18,753
PTC,19.19323,146.48,114978000.0,16841977440.0,2026-08-18,753
PWR,22.107528,696.15,152439000.0,106120409850.0,2026-08-18,753
PYPL,28.221602,60.43,901000000.0,54447430000.0,2026-08-18,753
QCOM,24.082712,160.19,1069000000.0,171243110000.0,2026-08-18,753
RCL,25.698046,300.0,270000000.0,81000000000.0,2026-08-18,753
RDDT,43.725189,158.25,202029700.0,31971200025.0,2026-08-18,607
REG,11.090012,76.19,183351000.0,13969512690.0,2026-08-18,753
REGN,28.206128,810.24,106800000.0,86533632000.0,2026-08-18,753
RF,15.622173,31.7,857000000.0,27166900000.0,2026-08-18,753
RJF,16.265594,179.3,197200000.0,35357960000.0,2026-08-18,753
RL,19.913524,378.25,61300000.0,23186725000.0,2026-08-18,753
RMD,17.80336,219.98,144976000.0,31891820480.0,2026-08-18,753
ROK,15.649301,433.67,112600000.0,48831242000.0,2026-08-18,753
ROL,16.731527,36.32,481397000.0,17484339040.0,2026-08-18,753
ROP,17.837367,394.17,102600000.0,40441842000.0,2026-08-18,753
ROST,15.721878,236.38,321231000.0,75932583780.0,2026-08-18,753
